GUID,conductivity,pH,W_1,R_W,PI
{CB4B9CC2-CDBD-FE26-E788-729AF26C8A85},111.2,8.55,2.43697,0.9342239941730078,0.6976073755116136
{7DFFCEA2-855C-552A-86D9-3CDC8692397E},109.6,8.25,2.488861,0.9324478892119606,0.7060664939426412
{761311EE-41DC-23D6-EDDE-B747CB1CC15D},85.9,8.8,2.31727,0.9069762890713676,0.5543617195885849
{24BDD1EA-13A7-6CEA-5F04-66F921E7C42B},162.9,8.18,2.481139,0.8969660314386876,0.8375644875313631
{6B671ED6-759C-9001-1DC4-FC23A8271BD6},156.5,8.29,2.4692,0.8928000011570387,0.8200377045893064
{8B4C389D-B7A3-94BA-28E8-831580E7CCEA},147.5,8.82,2.5009360000000003,0.9091790168764086,0.7086507517913775
{53AAE681-6AC3-D834-9C74-F2DEA95FC7D5},11.32,8.05,2.505912,0.9181371054729632,0.5196244510565513
{93E3B0AD-0DBB-1581-C5C4-6A9437B72C26},158.4,8.28,2.4828140000000003,0.9142580440850476,0.8290688172388494
{E8E51C7B-5323-ADBD-6E44-9159948BC228},123.4,8.84,2.7472060000000003,0.9136503831589644,0.6650531000307257
{BE4E8230-0CBE-1685-E55C-D136578CD59C},139.4,8.02,2.537951,0.9265530102236766,0.7869812901472709
{BC426425-23EB-383E-8B4B-80964F2843CF},144.8,7.64,2.499177,0.9283335642549658,0.7975189850716379
{9EC13737-3489-4D3A-6E54-91A96B3C64C7},117.6,8.54,2.698221,0.9100257875732634,0.7334909507131685
{DC2EFB75-4AD7-2ED3-8C1C-75CD80AA3921},154.5,8.17,2.33749,0.8389888301843449,0.7900669631309986
{8A538E34-BBD6-96D5-5D8B-1298F94A1D49},134.8,8.25,2.556853,0.9217624881303188,0.7759934560360476
{0D6FEA45-36CB-848F-CA72-BB601DD75B88},131.6,8.25,2.627174,0.9323503431936369,0.7735106961995398
{EF283BA3-8E5C-3685-42BD-BF647DA4FB1B},132.5,8.09,2.623526,0.9302604136009924,0.775552643684461
{D393E7E6-B3DB-7C9B-C428-09A1F4CD5DE6},135.6,8.21,2.602858,0.9295084870933044,0.7824371692264483
{15536953-E3C2-9AA8-0879-DA62E62C0DDD},137.3,8.19,2.597127,0.9286092780585756,0.7865541620652542
{467F6E89-A76C-86E2-4B66-E345521E4356},150.0,8.09,2.553682,0.929192466127008,0.81726614607868
{04006F2E-2B11-D759-3A7D-576AC146B95F},153.6,7.88,2.4770250000000003,0.9125406577520782,0.8161114682686301
{E4D1B122-7B6E-1B1E-EA88-ECCEBD3998CA},137.9,8.08,2.601147,0.9258655339069743,0.7882772896694642
{E8B0A6B1-EE98-EF49-3C39-9A3C91239BA8},144.3,8.15,2.579459,0.9270199617038892,0.8040464723091003
{645BD932-12A7-7EB5-2273-429204318D55},163.7,8.06,2.536943,0.9212048919003318,0.8503957420585112
{8C1B571C-F978-D7E4-91AB-1C2CE5C11D3C},139.5,9.59,2.362036,0.8549022758802157,0.4280364333099702
{79C23413-E923-3C05-5638-9659E82B14DA},126.3,6.74,2.394392,0.9310237562719108,0.7386932595151623
{D76B271C-CB2E-933C-A98A-D358834CC133},156.2,7.58,2.3304780000000003,0.8922730454039369,0.798771041591585
{2547D1CE-5BE2-71CC-5CCA-8353B7A3591E},127.6,6.83,2.378642,0.9231887601637848,0.7396926789623471
{41E50B41-A68E-61E4-D30D-B8B9FC4CB525},155.8,7.62,2.336321,0.8832176915649933,0.7978577562718573
{E92470A8-53B7-0575-2E46-1D923D25E78D},126.1,6.83,2.273083,0.8858302728553791,0.7211528271194387
{5C7864BA-37D7-E898-9F90-AFC987727795},155.6,7.59,2.361864,0.8938633241368348,0.8025326453621391
{8A3E9C29-D21C-D40C-AB83-54338FEAE662},164.2,7.93,2.488244,0.9083675519704678,0.8431751101092744
{BD7B1593-D933-6EDE-9F11-A13C49C66AE9},157.0,7.92,2.576955,0.9055005639712006,0.8357470232743641
{32B53139-3B96-FA0B-2866-8B85273AD7D9},139.2,7.98,2.656787,0.9120828568574252,0.7945105797231186
{87298563-699B-2158-2B20-8E722B2413F8},115.9,8.12,2.783795,0.918947727368008,0.7385931797655014
{88636388-51EE-9A97-ADDC-54741526AA72},151.9,7.37,2.282415,0.8665849850634291,0.7792282739040294
{C0B444C7-6913-AC2D-3680-D60B03D4ED35},165.2,7.59,2.427365,0.8937966875948847,0.83416451436594
{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},162.8,7.79,2.546115,0.9046381752858044,0.8470858629974295
{E72B85B7-2FB7-91AC-1F44-1EBF32AEFD7A},148.6,7.95,2.630545,0.9034616017356606,0.8176266781749255
{8C25CF99-F697-C9B3-26C1-9E572CAE6EE6},127.5,8.12,2.720768,0.912006494871244,0.7661088687183527
{53CAB14B-5A67-4058-36CA-EDEC7893207D},165.1,7.48,2.415622,0.8981396379514452,0.8326067143412902
{04C73CE4-61A8-3342-122D-D22EA0A71248},167.4,7.66,2.514971,0.9125733741038806,0.8552102819076631
{AAA771D5-1F6E-738C-044B-4989B732CEF2},156.8,7.84,2.577018,0.896369675994365,0.8340541080578232
{3CC85BC3-C189-61F7-A9AD-414B8012458C},138.4,8.04,2.745577,0.9117262540242844,0.7966315630988673
{811B7742-9708-481D-D2C6-E72CA39337AB},170.7,7.5,2.188145,0.7951917346241623,0.7888849978059764
{987A7F24-6871-9417-2924-68CFE32554F7},164.1,7.69,2.345462,0.8254803208356649,0.8090885429007597
{0BC976CE-6511-34F2-8A64-A92DDE5A8528},148.4,7.94,2.653092,0.9105089613213556,0.8194650560992067
{C728CD3D-8F64-3AC1-255C-2BDE9394431E},170.5,7.54,2.546404,0.9132601478271192,0.8671434755796817
{CE55911B-3494-64C3-A826-217B9E49902D},157.7,7.79,2.623823,0.9115123719054604,0.8428711138807207
{A0A3756C-1996-1342-9DE2-C26476ED0DC2},165.7,7.62,2.5798810000000003,0.9163025557496376,0.8601818023972836
{38DE8839-90D1-2658-4E5A-5B84BB207A1E},72.2,6.01,2.203485,0.8796185778624425,0.4379797643349355
{6F5AB618-2569-B402-A877-6DCE7DD8F153},117.2,5.91,2.212754,0.8634328882368091,0.496079533764203
{3B1E979C-AA36-B5A6-A445-6047ACB7524A},146.7,5.9,2.395712,0.9156929888700878,0.5748928612873775
{96991FD3-F267-6D61-C5B4-38C478B999A8},164.2,5.93,2.344142,0.8870156569213111,0.6115313228317762
{CD33BF4A-EE37-BB27-834D-5A50685BC1EF},173.2,5.96,2.422146,0.8942632519831731,0.6459414203528772
{CD210EF3-8782-CC49-9B4A-B7847AC0A5D9},176.0,6.0,2.524509,0.9177379630252346,0.6780209903334703
{B6BBEE56-6A44-E2C5-A640-FE532DF4CF73},173.4,6.17,2.612131,0.929889095283221,0.7642455025100858
{0EA89D02-40B4-7C1B-0107-715C0E82E2E7},85.7,7.15,2.040468,0.8445271670501348,0.6061971668593619
{002BB164-BEE7-EA15-ED8A-D3236E8C961C},135.6,7.5,2.273931,0.9013599294111492,0.7444712452044262
{CE287932-9624-953A-9A59-97BA5911A998},159.4,7.76,2.335649,0.8845516872064229,0.8056521065233619
{FDA7B14C-8341-4BFB-BA54-DD53B589C923},161.8,7.84,2.471036,0.9285660871261128,0.8373529167484454
{4F22D78F-CF9D-E213-A658-31D8C7627159},149.4,7.93,2.574197,0.9216387731757048,0.8169268794935873
{3A6B5D27-98C7-EEDD-EABC-98B69A8E4F69},128.8,8.05,2.633299,0.9146168562147984,0.765080860120237
{5C77AE04-13D1-8E38-67E1-49E89A5D64D8},104.1,8.03,2.710526,0.9189074107536052,0.7060882534051977
{214A9ABD-B4DD-CA1E-C771-6BDF9D7C8236},72.7,8.8,2.304278,0.907548720703675,0.524645070909971
{1911DC75-1835-7EC5-3AEE-42823185BC83},99.4,8.8,2.330794,0.9083605001685544,0.5865672368202901
{6D135743-3627-79A7-12D5-45AEE4451233},118.4,8.76,2.355997,0.8981594189251884,0.6479643458995996
{C97C36CE-3313-10BF-89BE-48CB479E5D28},129.4,8.67,2.436607,0.9270227535761,0.7151492890458518
{EB620CCA-124A-1E69-D611-437B1308E122},135.0,8.54,2.475701,0.9322620062999302,0.7643843451847654
{DCBE6D3D-89D3-369D-5EB3-7BC1DF89FBAD},136.1,8.39,2.510912,0.928440981660152,0.7757669745322571
{D548E380-7A76-7F85-7ECA-3318104D9E40},82.8,8.92,2.317306,0.908176190349286,0.5026670116774727
{4ACDD325-3E35-6C77-DA8F-D5B2C0AAFAC0},101.6,8.82,2.224439,0.8602717210547077,0.570093419064148
{CD48889B-3423-2BC3-9D5E-3416508C2B9B},113.6,8.68,2.433895,0.9268188939077876,0.6718711362638676
{6658B1A3-ED8D-8481-827A-E65820B03D69},120.6,8.54,2.491674,0.931279267467228,0.7281018225463116
{8EAAA4C5-CB68-9CAD-60A6-55CBE4C2D54F},122.8,8.38,2.511341,0.9337433413359378,0.7413616727125236
{F5D1C1C0-4C95-7269-94F9-6BD33CB52EE2},86.9,8.75,2.384353,0.9242566727344332,0.5812380315823162
{69A49FAD-2376-C931-EB8A-96036768C9D8},98.9,8.65,2.229723,0.8529157275777703,0.61949893481586
{CFC2A9CE-0D7B-9BBD-8881-B9C24619DB21},106.8,8.52,2.466446,0.9260655713084224,0.6940302582326815
{AA671CDC-B22E-64B4-3E61-4AA24E93BAE8},110.2,8.36,2.531514,0.931529724152447,0.7108706831981483
{E44FB683-610A-FD8C-5BE5-AC6818233D3A},86.7,8.59,2.384665,0.912449899080726,0.6252095356584012
{038F6478-5D85-3F7D-E442-2CA54C027760},94.5,8.49,2.461994,0.9306578807106888,0.6677779055155674
{F777D1FA-6CBF-C227-CBD7-6DF44F5726A4},98.4,8.35,2.498677,0.9348691014069372,0.6799030862020449
{EBE7F746-2744-CC07-2FE8-974E7962D177},83.4,8.44,2.428525,0.923662205926819,0.6400035023555206
{1AB2F97D-49C6-37BC-C393-4D0D4DDADC27},87.7,8.33,2.499654,0.9293454680515584,0.6550725992825277
{7D49E1E7-DA6B-5398-E88E-1CDBB4ED4821},78.2,8.28,2.506775,0.9290166808113226,0.6347491682365717
{2631565A-3DD4-93AB-D447-711533898A4C},37.6,8.55,1.843585,0.7669202427241615,0.4939519178345367
{30D186D1-8D4B-7FCE-3309-934A1C598E76},57.5,8.67,2.124336,0.8592681520000711,0.5181152355600271
{468DBDC0-3C59-54DF-40D2-6437461BFE6D},69.0,8.64,2.034808,0.825324228897997,0.5386119198959989
{8857FDA4-D355-639E-C6D7-CA079B7FC5A2},74.8,8.57,2.189867,0.8551064867475827,0.5842302306765382
{FEED1697-6B52-32F8-1842-676B879BB215},76.3,8.48,2.202168,0.8610917121748766,0.6036424464345198
{8BCB596C-FA14-81EE-BC27-0798A581BFCE},74.5,8.39,2.399357,0.9212231439482071,0.6188177126161178
{55D7E85D-31DC-67DC-88C0-93723C35AD19},70.5,8.28,2.4365170000000003,0.9291512349445372,0.6137167913848264
{CB274B1F-C756-74A0-5F0C-DA4CF88980F0},54.1,9.22,1.950726,0.7884237797115038,0.269481277274245
{A193856D-2881-6584-2B11-5AA5C4C58728},91.5,9.13,2.056371,0.8176061344385458,0.4019317721198476
{D2B4FA6C-8582-5DC5-7CF2-5A3CB5D0ED40},118.2,8.99,2.200462,0.8510028897084302,0.5369073008229176
{DDD893B4-0250-16A8-3F83-ABA805612897},136.0,8.84,2.321873,0.8750435755587942,0.6531262259349591
{B29332A8-EF54-8652-D277-B7A4296A26D8},146.5,8.69,2.410728,0.894896952738096,0.7456636026612974
{6C16C74A-F5C0-CAE1-376B-C378310069B2},150.7,8.53,2.382739,0.8806892083241085,0.7894730286880021
{7008C3E9-1DC4-9527-6069-DB5A2F2BF22B},150.7,8.38,2.530224,0.9280365841447432,0.8165291565253447
{FCBCED67-798D-7B9D-2BC3-ECC99D66B69E},76.0,6.0,1.637049,0.9453104879550144,0.3852694756073119
{655AD7D5-A53E-2DD2-41C3-12B0AA6C9F16},134.3,5.89,1.638327,0.9618676234106373,0.4682125250482827
{C63CBD5C-8473-BCA6-D4FD-8AAB75705D4A},178.4,5.75,1.6190060000000002,0.9564986724863792,0.5019261119894536
{C4AE261D-2419-41D8-6104-2C3B8DBADE95},169.9,7.27,1.725772,0.9639364187097632,0.7158986365579088
{4DBDD753-959C-5410-5451-DF8D0BD4439E},159.9,5.86,1.748761,0.9763729014744744,0.5183183272491982
{19D56FD7-675B-8AC8-3BB5-2DDD515AB9B7},154.3,6.76,2.488599,0.9043012284344456,0.8184462265561523
{5DD5296E-E0EB-BBBB-516C-986C5E7A068C},128.5,5.48,1.486424,0.8817200856792201,0.3396006007939519
{FFA1B498-EC5A-CC32-69DD-9658D12BAF83},158.1,6.66,1.721737,0.9606342046943244,0.7000204443155055
{430B0878-5715-CC63-C1CB-EFFC6F448E77},168.5,6.53,1.697604,0.9530868578075912,0.70887101087855
{DC602CDE-9BB9-F073-8113-D3176BCB82D3},156.6,6.59,1.809069,1.0608496324991117,0.7158270095894936
{A9E415AD-E124-5D4C-BB3C-B286D8363ADF},174.0,6.59,1.693053,0.9490372310281175,0.7140780855751993
{731BC1B4-E291-E5D5-BD46-ADA505BF0446},155.3,6.33,1.737425,0.9709555788905424,0.6663980459998898
{130B480A-ADA3-44BA-8E5E-ABDCADEEAB64},155.3,6.12,1.731206,0.9698345091154156,0.6006104110282873
{B594CEB8-BF5E-6554-9C41-6EA8B9E532E3},194.7,5.64,1.669511,0.9619375986346856,0.5003287681671618
{A698F332-BCE8-0829-0B74-8D67899273EC},167.4,6.6,1.719472,0.9408607798847858,0.7108422038981489
{25A5C78B-5F1C-36B9-06E6-2DA98ABA1868},167.4,6.91,1.673088,0.9328458777684911,0.7024882954781273
{2F1CD03B-153F-7A76-8C74-A4AABA487A71},166.7,6.41,1.594783,0.9208349500660552,0.6741680081732595
{7EE75A76-6EF8-1766-0757-BC6710847267},157.3,6.37,1.731764,0.9634903131547704,0.6777948679229893
{42D791CD-1212-8313-668D-775257ED72E9},150.1,6.31,2.482432,0.9215736937611188,0.7651871295560096
{B4210D94-1DC7-CE9F-E117-B8FA8D5D7AAC},156.7,6.83,1.829222,1.0541444054430815,0.7193903207521157
{469E219E-4D63-6157-B750-CCFE727B7791},156.6,6.22,1.727331,0.9579131366447744,0.634957617127545
{B7529651-6529-36CB-EEB0-19A417D473F3},156.7,6.39,1.7596349999999998,0.9597607736403748,0.6858105406448428
{D3D6BD6D-D72F-8722-A554-BEAE96F5995B},154.7,6.39,2.493556,0.914368146747383,0.8020267627807983
{A40B2864-109B-6716-E12C-A25A7E278B3A},155.7,6.52,1.771182,0.964290614186192,0.7051403444721249
{B7AFBCEF-8FC7-9946-E450-69A4391DC742},155.5,6.53,1.771878,0.968925534148774,0.705150734924312
{1421906E-85AD-8B68-DA0A-CB51DD52D65A},155.4,6.99,2.296853,0.8624125517030077,0.788467076121822
{426C0DB4-5E79-18B6-7CE6-E8B98FD76758},151.3,6.59,2.502764,0.9186693564964088,0.8140351644893166
